pclass,survival,sex,age,fare,embarked
1st,0,male,49,26,Southampton
1st,0,male,36,"78,8499985",Southampton
1st,1,female,76,"78,8499985",Southampton
1st,0,male,46,"61,1749992",Southampton
1st,1,female,47,"61,1749992",Southampton
1st,1,male,27,"53,0999985",Southampton
1st,1,female,33,"53,0999985",Southampton
1st,1,female,36,"262,375",Cherbourg
1st,1,female,30,"86,5",Southampton
1st,1,male,45,"29,7000008",Cherbourg
1st,0,male,27,"136,779205",Cherbourg
1st,1,female,26,"136,779205",Cherbourg
1st,1,female,22,"151,550003",Southampton
1st,0,male,47,"25,5874996",Southampton
1st,1,female,39,"83,1583023",Cherbourg
1st,0,male,37,"83,1583023",Cherbourg
1st,1,female,64,"83,1583023",Cherbourg
1st,1,female,55,"25,7000008",Southampton
1st,0,male,70,71,Southampton
1st,1,female,36,71,Southampton
1st,1,female,64,"26,5499992",Southampton
1st,0,male,39,"71,2833023",Cherbourg
1st,1,female,38,"71,2833023",Cherbourg
1st,1,male,51,"26,5499992",Southampton
1st,1,male,27,"30,5",Southampton
1st,1,female,33,"151,550003",Southampton
1st,0,male,31,52,Southampton
1st,1,female,27,52,Southampton
1st,1,male,31,57,Southampton
1st,1,female,17,57,Southampton
1st,1,male,53,"81,8582993",Southampton
1st,1,male,4,"81,8582993",Southampton
1st,1,female,54,"81,8582993",Southampton
1st,0,male,50,"106,425003",Cherbourg
1st,1,female,27,"247,520798",Cherbourg
1st,1,female,48,"106,425003",Cherbourg
1st,1,female,48,"39,5999985",Cherbourg
1st,1,male,49,"56,9291992",Cherbourg
1st,0,male,39,"29,7000008",Cherbourg
1st,1,female,23,"83,1583023",Cherbourg
1st,1,female,38,"227,524994",Cherbourg
1st,1,female,54,"78,2667007",Cherbourg
1st,0,female,36,"31,6791992",Cherbourg
1st,1,male,36,"26,3875008",Southampton
1st,0,male,30,"27,75",Cherbourg
1st,1,female,24,263,Southampton
1st,1,female,28,263,Southampton
1st,1,female,23,263,Southampton
1st,0,male,19,263,Southampton
1st,0,male,64,263,Southampton
1st,1,female,60,263,Southampton
1st,1,female,30,"56,9291992",Cherbourg
1st,1,male,50,"133,649994",Southampton
1st,1,male,43,"27,7208004",Cherbourg
1st,1,female,22,"49,5",Cherbourg
1st,1,male,60,"79,1999969",Cherbourg
1st,1,female,48,"79,1999969",Cherbourg
1st,0,male,37,"53,0999985",Southampton
1st,1,female,35,"53,0999985",Southampton
1st,0,male,47,"38,5",Southampton
1st,1,female,35,"211,5",Cherbourg
1st,1,female,22,"59,4000015",Cherbourg
1st,1,female,45,"59,4000015",Cherbourg
1st,0,male,24,"79,1999969",Cherbourg
1st,1,male,49,"89,1042023",Cherbourg
1st,0,male,71,"34,6542015",Cherbourg
1st,1,male,53,"28,5",Cherbourg
1st,1,female,19,30,Southampton
1st,0,male,38,"153,462494",Southampton
1st,1,female,58,"153,462494",Southampton
1st,1,male,23,"63,3582993",Cherbourg
1st,1,female,45,"63,3582993",Cherbourg
1st,0,male,46,"79,1999969",Cherbourg
1st,1,male,25,"55,4417",Cherbourg
1st,1,female,25,"55,4417",Cherbourg
1st,1,male,48,"76,7292023",Cherbourg
1st,1,female,49,"76,7292023",Cherbourg
1st,0,male,45,"83,4749985",Southampton
1st,1,female,35,"83,4749985",Southampton
1st,0,male,40,0,Southampton
1st,1,male,27,"76,7292023",Cherbourg
1st,1,female,24,"83,1583023",Cherbourg
1st,0,male,55,"93,5",Southampton
1st,1,female,52,"93,5",Southampton
1st,0,male,42,"42,5",Southampton
1st,0,male,55,50,Southampton
1st,1,female,16,"57,9791985",Cherbourg
1st,1,female,44,"57,9791985",Cherbourg
1st,1,female,51,"77,9582977",Southampton
1st,0,male,42,52,Southampton
1st,1,female,35,52,Southampton
1st,1,male,35,"26,5499992",Cherbourg
1st,1,male,38,90,Southampton
1st,1,female,35,90,Southampton
1st,0,female,50,"28,7124996",Cherbourg
1st,1,male,49,0,Southampton
1st,0,male,46,26,Southampton
1st,0,male,50,26,Southampton
1st,0,male,"32,5","211,5",Cherbourg
1st,0,male,58,"29,7000008",Cherbourg
1st,0,male,41,"51,8624992",Southampton
1st,1,male,42,"52,5541992",Southampton
1st,1,female,45,"52,5541992",Southampton
1st,1,female,39,"211,337494",Southampton
1st,1,female,49,"25,9291992",Southampton
1st,1,female,30,"106,425003",Cherbourg
1st,1,male,35,"512,329224",Cherbourg
1st,0,male,42,"26,5499992",Southampton
1st,1,female,55,"27,7208004",Cherbourg
1st,1,female,16,"39,4000015",Southampton
1st,1,female,51,"39,4000015",Southampton
1st,0,male,29,30,Southampton
1st,1,female,21,"77,9582977",Southampton
1st,0,male,30,"45,5",Southampton
1st,1,female,58,"146,520798",Cherbourg
1st,1,female,15,"211,337494",Southampton
1st,0,male,30,26,Southampton
1st,1,female,16,"86,5",Southampton
1st,0,male,19,"53,0999985",Southampton
1st,1,female,18,"53,0999985",Southampton
1st,1,female,24,"49,5042",Cherbourg
1st,0,male,46,"75,2416992",Cherbourg
1st,0,male,54,"51,8624992",Southampton
1st,1,male,36,"26,2875004",Southampton
1st,0,male,28,"82,1707993",Cherbourg
1st,0,male,65,"26,5499992",Southampton
1st,0,male,44,90,Queenstown
1st,1,female,33,90,Queenstown
1st,1,female,37,90,Queenstown
1st,1,male,30,"57,75",Cherbourg
1st,0,male,55,"30,5",Southampton
1st,0,male,47,"42,4000015",Southampton
1st,0,male,37,"29,7000008",Cherbourg
1st,1,female,31,"113,275002",Cherbourg
1st,1,female,23,"113,275002",Cherbourg
1st,0,male,58,"113,275002",Cherbourg
1st,1,female,19,"26,2833004",Southampton
1st,0,male,64,26,Southampton
1st,1,female,39,"108,900002",Cherbourg
1st,1,female,22,"61,9791985",Cherbourg
1st,0,male,65,"61,9791985",Cherbourg
1st,0,male,"28,5","27,7208004",Cherbourg
1st,0,male,"45,5","28,5",Southampton
1st,0,male,23,"93,5",Southampton
1st,0,male,29,"66,5999985",Southampton
1st,1,female,22,"66,5999985",Southampton
1st,0,male,18,"108,900002",Cherbourg
1st,1,female,17,"108,900002",Cherbourg
1st,1,female,30,"93,5",Southampton
1st,1,male,52,"30,5",Southampton
1st,0,male,47,52,Southampton
1st,1,female,56,"83,1583023",Cherbourg
1st,0,male,38,0,Southampton
1st,0,male,22,"135,633301",Cherbourg
1st,1,female,43,"211,337494",Southampton
1st,0,male,31,"50,4958",Southampton
1st,1,male,45,"26,5499992",Southampton
1st,1,female,33,"27,7208004",Cherbourg
1st,0,male,46,"79,1999969",Cherbourg
1st,0,male,36,"40,125",Cherbourg
1st,1,female,33,"86,5",Southampton
1st,0,male,55,"59,4000015",Cherbourg
1st,1,female,54,"59,4000015",Cherbourg
1st,0,male,33,"26,5499992",Southampton
1st,1,male,13,"262,375",Cherbourg
1st,1,female,18,"262,375",Cherbourg
1st,1,female,21,"262,375",Cherbourg
1st,0,male,61,"262,375",Cherbourg
1st,1,female,48,"262,375",Cherbourg
1st,1,female,24,"69,3000031",Cherbourg
1st,1,female,35,"57,75",Cherbourg
1st,1,female,30,31,Cherbourg
1st,1,male,34,"26,5499992",Southampton
1st,1,female,40,"153,462494",Southampton
1st,1,male,35,"26,2875004",Southampton
1st,0,male,50,"55,9000015",Southampton
1st,1,female,39,"55,9000015",Southampton
1st,1,male,56,"35,5",Cherbourg
1st,1,male,28,"35,5",Southampton
1st,0,male,56,"26,5499992",Southampton
1st,0,male,56,"30,6958008",Cherbourg
1st,0,male,24,60,Southampton
1st,1,female,18,60,Southampton
1st,1,male,24,"82,2667007",Southampton
1st,1,female,23,"82,2667007",Southampton
1st,1,male,6,"134,5",Cherbourg
1st,1,male,45,"134,5",Cherbourg
1st,1,female,40,"134,5",Cherbourg
1st,0,male,57,"146,520798",Cherbourg
1st,1,male,32,"30,5",Cherbourg
1st,0,male,62,"26,5499992",Southampton
1st,1,male,54,"55,4417",Cherbourg
1st,1,female,43,"55,4417",Cherbourg
1st,1,female,52,"78,2667007",Cherbourg
1st,0,male,67,"221,779205",Southampton
1st,0,female,63,"221,779205",Southampton
1st,0,male,61,"32,3208008",Southampton
1st,1,female,48,"25,9291992",Southampton
1st,1,female,18,"79,6500015",Southampton
1st,0,male,52,"79,6500015",Southampton
1st,1,female,39,"79,6500015",Southampton
1st,1,male,48,52,Southampton
1st,0,male,49,"110,883301",Cherbourg
1st,1,male,17,"110,883301",Cherbourg
1st,1,female,39,"110,883301",Cherbourg
1st,1,male,31,"28,5375004",Cherbourg
1st,0,male,40,"27,7208004",Cherbourg
1st,0,male,61,"33,5",Southampton
1st,0,male,47,"34,0208015",Southampton
1st,1,female,35,"512,329224",Cherbourg
1st,0,male,64,"75,25",Cherbourg
1st,1,female,60,"75,25",Cherbourg
1st,0,male,60,"26,5499992",Southampton
1st,0,male,54,"77,2874985",Southampton
1st,0,male,21,"77,2874985",Southampton
1st,1,female,55,"135,633301",Cherbourg
1st,1,female,31,"164,866699",Southampton
1st,0,male,57,"164,866699",Southampton
1st,1,female,45,"164,866699",Southampton
1st,0,male,50,"211,5",Cherbourg
1st,0,male,27,"211,5",Cherbourg
1st,1,female,50,"211,5",Cherbourg
1st,1,female,21,"26,5499992",Southampton
1st,0,male,51,"61,3792",Cherbourg
1st,1,male,21,"61,3792",Cherbourg
1st,1,female,31,"134,5",Cherbourg
1st,0,male,62,"26,5499992",Southampton
1st,1,female,36,"135,633301",Cherbourg
2nd,0,male,30,24,Cherbourg
2nd,1,female,28,24,Cherbourg
2nd,0,male,30,13,Southampton
2nd,0,male,18,"11,5",Southampton
2nd,0,male,25,"10,5",Southampton
2nd,0,male,34,26,Southampton
2nd,1,female,36,26,Southampton
2nd,0,male,57,13,Southampton
2nd,0,male,18,"11,5",Southampton
2nd,0,male,23,"10,5",Southampton
2nd,1,female,36,13,Southampton
2nd,0,male,28,"10,5",Southampton
2nd,0,male,51,"12,5249996",Southampton
2nd,1,male,32,26,Southampton
2nd,1,female,19,26,Southampton
2nd,0,male,28,26,Southampton
2nd,1,male,1,39,Southampton
2nd,1,female,4,39,Southampton
2nd,1,female,12,39,Southampton
2nd,1,female,36,39,Southampton
2nd,1,male,34,13,Southampton
2nd,1,female,19,13,Southampton
2nd,0,male,23,13,Southampton
2nd,0,male,26,13,Southampton
2nd,0,male,42,13,Southampton
2nd,0,male,27,13,Southampton
2nd,1,female,24,13,Southampton
2nd,1,female,15,39,Southampton
2nd,0,male,60,39,Southampton
2nd,1,female,40,39,Southampton
2nd,1,female,20,26,Southampton
2nd,0,male,25,26,Southampton
2nd,1,female,36,13,Southampton
2nd,0,male,25,13,Southampton
2nd,0,male,42,13,Southampton
2nd,1,female,42,13,Southampton
2nd,1,male,"0,833299994",29,Southampton
2nd,1,male,26,29,Southampton
2nd,1,female,22,29,Southampton
2nd,1,female,35,21,Southampton
2nd,0,male,19,13,Southampton
2nd,0,female,44,26,Southampton
2nd,0,male,54,26,Southampton
2nd,0,male,52,"13,5",Southampton
2nd,0,male,37,26,Southampton
2nd,0,female,29,26,Southampton
2nd,1,female,25,30,Southampton
2nd,1,female,45,30,Southampton
2nd,0,male,29,26,Southampton
2nd,1,female,28,26,Southampton
2nd,0,male,29,"10,5",Southampton
2nd,0,male,28,13,Southampton
2nd,1,male,24,"10,5",Southampton
2nd,1,female,8,"26,25",Southampton
2nd,0,male,31,"26,25",Southampton
2nd,1,female,31,"26,25",Southampton
2nd,1,female,22,"10,5",Southampton
2nd,0,female,30,13,Southampton
2nd,0,male,21,"11,5",Southampton
2nd,1,male,8,"36,75",Southampton
2nd,0,male,18,"73,5",Southampton
2nd,1,female,48,"36,75",Southampton
2nd,1,female,28,13,Southampton
2nd,0,male,32,13,Southampton
2nd,0,male,17,"73,5",Southampton
2nd,0,male,29,"27,7208004",Cherbourg
2nd,1,female,24,"27,7208004",Cherbourg
2nd,0,male,25,"31,5",Southampton
2nd,0,male,18,"73,5",Southampton
2nd,1,female,18,23,Southampton
2nd,1,female,34,23,Southampton
2nd,0,male,54,26,Southampton
2nd,1,male,8,"32,5",Southampton
2nd,0,male,42,"32,5",Southampton
2nd,1,female,34,"32,5",Southampton
2nd,1,female,27,"13,8583002",Cherbourg
2nd,1,female,30,"13,8583002",Cherbourg
2nd,0,male,23,13,Southampton
2nd,0,male,21,13,Southampton
2nd,0,male,18,13,Southampton
2nd,0,male,40,26,Southampton
2nd,1,female,29,26,Southampton
2nd,0,male,18,"10,5",Southampton
2nd,0,male,36,13,Southampton
2nd,0,female,38,13,Southampton
2nd,0,male,35,26,Southampton
2nd,0,male,38,21,Southampton
2nd,0,male,34,21,Southampton
2nd,1,female,34,13,Southampton
2nd,0,male,16,26,Southampton
2nd,0,male,26,"10,5",Southampton
2nd,0,male,47,"10,5",Southampton
2nd,0,male,21,"11,5",Southampton
2nd,0,male,21,"11,5",Southampton
2nd,0,male,24,"13,5",Southampton
2nd,0,male,24,13,Southampton
2nd,0,male,34,13,Southampton
2nd,0,male,30,13,Southampton
2nd,0,male,52,13,Southampton
2nd,0,male,30,13,Southampton
2nd,1,male,"0,666700006","14,5",Southampton
2nd,1,female,24,"14,5",Southampton
2nd,0,male,44,13,Southampton
2nd,1,female,6,33,Southampton
2nd,0,male,28,33,Southampton
2nd,1,male,62,"10,5",Southampton
2nd,0,male,30,"10,5",Southampton
2nd,1,female,7,"26,25",Southampton
2nd,0,male,43,"26,25",Southampton
2nd,1,female,45,"26,25",Southampton
2nd,1,female,24,65,Southampton
2nd,1,female,24,65,Southampton
2nd,0,male,49,65,Southampton
2nd,1,female,48,65,Southampton
2nd,1,female,55,16,Southampton
2nd,0,male,24,"73,5",Southampton
2nd,0,male,32,"73,5",Southampton
2nd,0,male,21,"73,5",Southampton
2nd,0,female,18,13,Southampton
2nd,1,female,20,23,Southampton
2nd,0,male,23,"11,5",Southampton
2nd,0,male,36,13,Southampton
2nd,1,female,54,23,Southampton
2nd,0,male,50,13,Southampton
2nd,0,male,44,26,Southampton
2nd,1,female,29,26,Southampton
2nd,0,male,21,"73,5",Southampton
2nd,1,male,42,13,Southampton
2nd,0,male,63,26,Southampton
2nd,0,female,60,26,Southampton
2nd,0,male,33,"12,2749996",Southampton
2nd,1,female,17,"10,5",Southampton
2nd,0,male,42,27,Southampton
2nd,1,female,24,27,Southampton
2nd,0,male,47,15,Southampton
2nd,0,male,24,"31,5",Southampton
2nd,0,male,22,"31,5",Southampton
2nd,0,male,32,"10,5",Southampton
2nd,1,female,23,"13,7917004",Cherbourg
2nd,0,male,34,26,Southampton
2nd,1,female,24,26,Southampton
2nd,0,female,22,21,Southampton
2nd,0,male,35,"12,3500004",Queenstown
2nd,1,female,45,"13,5",Southampton
2nd,0,male,57,"12,3500004",Queenstown
2nd,0,male,31,"10,5",Southampton
2nd,0,female,26,26,Southampton
2nd,0,male,30,26,Southampton
2nd,1,female,1,"41,5792007",Cherbourg
2nd,1,female,3,"41,5792007",Cherbourg
2nd,0,male,25,"41,5792007",Cherbourg
2nd,1,female,22,"41,5792007",Cherbourg
2nd,1,female,17,12,Cherbourg
2nd,1,female,34,"10,5",Southampton
2nd,0,male,36,"12,875",Cherbourg
2nd,0,male,24,"10,5",Southampton
2nd,0,male,61,"12,3500004",Queenstown
2nd,0,male,50,26,Southampton
2nd,1,female,42,26,Southampton
2nd,0,female,57,"10,5",Southampton
2nd,1,male,1,"37,0042",Cherbourg
2nd,0,male,31,"37,0042",Cherbourg
2nd,1,female,24,"37,0042",Cherbourg
2nd,0,male,30,13,Southampton
2nd,0,male,40,16,Southampton
2nd,0,male,32,"13,5",Southampton
2nd,0,male,30,13,Southampton
2nd,0,male,46,26,Southampton
2nd,1,female,13,"19,5",Southampton
2nd,1,female,41,"19,5",Southampton
2nd,1,male,19,"10,5",Southampton
2nd,0,male,39,13,Southampton
2nd,0,male,48,13,Southampton
2nd,0,male,70,"10,5",Southampton
2nd,0,male,27,13,Southampton
2nd,0,male,54,14,Southampton
2nd,0,male,39,26,Southampton
2nd,0,male,16,"10,5",Southampton
2nd,0,male,62,"9,6875",Queenstown
2nd,0,male,"32,5","30,0708008",Cherbourg
2nd,1,female,14,"30,0708008",Cherbourg
2nd,1,male,2,26,Southampton
2nd,1,male,3,26,Southampton
2nd,0,male,"36,5",26,Southampton
2nd,0,male,26,13,Southampton
2nd,0,male,19,"36,75",Southampton
2nd,0,male,28,"13,5",Southampton
2nd,1,male,20,"13,8625002",Cherbourg
2nd,1,female,29,"10,5",Southampton
2nd,0,male,39,13,Southampton
2nd,1,male,22,"10,5",Southampton
2nd,0,male,23,"10,5",Southampton
2nd,1,male,29,"13,8583002",Cherbourg
2nd,0,male,28,"10,5",Southampton
2nd,1,female,50,26,Southampton
2nd,0,male,19,"10,5",Southampton
2nd,0,male,41,13,Southampton
2nd,1,female,21,21,Southampton
2nd,1,female,19,26,Southampton
2nd,0,male,43,21,Southampton
2nd,1,female,32,13,Southampton
2nd,0,male,34,13,Southampton
2nd,1,male,30,"12,7375002",Cherbourg
2nd,0,male,27,"15,0333004",Cherbourg
2nd,1,female,2,26,Southampton
2nd,1,female,8,26,Southampton
2nd,1,female,33,26,Southampton
2nd,0,male,36,"10,5",Southampton
2nd,0,male,34,21,Southampton
2nd,1,female,30,21,Southampton
2nd,1,female,28,13,Southampton
2nd,0,male,23,"15,0458002",Cherbourg
2nd,1,male,"0,833299994","18,75",Southampton
2nd,1,male,3,"18,75",Southampton
2nd,1,female,24,"18,75",Southampton
2nd,1,female,50,"10,5",Southampton
2nd,0,male,19,"10,5",Southampton
2nd,1,female,21,"10,5",Southampton
2nd,0,male,26,13,Southampton
2nd,0,male,25,13,Southampton
2nd,0,male,27,26,Southampton
2nd,1,female,25,26,Southampton
2nd,1,female,18,13,Southampton
2nd,1,female,20,"36,75",Southampton
2nd,1,female,30,13,Southampton
2nd,0,male,59,"13,5",Southampton
2nd,1,female,30,"12,3500004",Queenstown
2nd,0,male,35,"10,5",Southampton
2nd,1,female,40,13,Southampton
2nd,0,male,25,13,Southampton
2nd,0,male,41,"15,0458002",Cherbourg
2nd,0,male,25,"10,5",Southampton
2nd,0,male,"18,5",13,Southampton
2nd,0,male,14,65,Southampton
2nd,1,female,50,"10,5",Southampton
2nd,0,male,23,13,Southampton
2nd,1,female,28,"12,6499996",Southampton
2nd,1,female,27,"10,5",Southampton
2nd,0,male,29,21,Southampton
2nd,0,female,27,21,Southampton
2nd,0,male,40,13,Southampton
2nd,1,female,31,21,Southampton
2nd,0,male,30,21,Southampton
2nd,0,male,23,"10,5",Southampton
2nd,1,female,31,21,Southampton
2nd,1,female,12,"15,75",Southampton
2nd,1,female,40,"15,75",Southampton
2nd,1,female,"32,5",13,Southampton
2nd,0,male,27,26,Southampton
2nd,1,female,29,26,Southampton
2nd,1,male,2,23,Southampton
2nd,1,female,4,23,Southampton
2nd,1,female,29,23,Southampton
2nd,1,female,"0,916700006","27,75",Southampton
2nd,1,female,5,"27,75",Southampton
2nd,0,male,36,"27,75",Southampton
2nd,1,female,33,"27,75",Southampton
2nd,0,male,66,"10,5",Southampton
2nd,1,male,31,13,Southampton
2nd,1,female,26,"13,5",Southampton
2nd,0,female,24,13,Southampton
3rd,0,male,42,"7,55000019",Southampton
3rd,0,male,13,"20,25",Southampton
3rd,0,male,16,"20,25",Southampton
3rd,1,female,35,"20,25",Southampton
3rd,1,female,16,"7,6500001",Southampton
3rd,1,male,25,"7,6500001",Southampton
3rd,1,male,20,"7,92500019",Southampton
3rd,1,female,18,"7,22919989",Cherbourg
3rd,0,male,30,"7,25",Southampton
3rd,0,male,26,"8,05000019",Southampton
3rd,0,female,40,"9,47500038",Southampton
3rd,1,male,"0,833299994","9,35000038",Southampton
3rd,1,female,18,"9,35000038",Southampton
3rd,1,male,26,"18,7875004",Cherbourg
3rd,0,male,26,"7,88749981",Southampton
3rd,0,male,20,"7,92500019",Southampton
3rd,0,male,24,"7,05000019",Southampton
3rd,0,male,25,"7,05000019",Southampton
3rd,0,male,35,"8,05000019",Southampton
3rd,0,male,18,"8,30000019",Southampton
3rd,0,male,32,"22,5249996",Southampton
3rd,1,female,19,"7,85419989",Southampton
3rd,0,male,4,"31,2749996",Southampton
3rd,0,female,6,"31,2749996",Southampton
3rd,0,female,2,"31,2749996",Southampton
3rd,1,female,17,"7,92500019",Southampton
3rd,0,female,38,"7,7750001",Southampton
3rd,0,female,9,"31,2749996",Southampton
3rd,0,female,11,"31,2749996",Southampton
3rd,0,male,39,"31,2749996",Southampton
3rd,1,male,27,"7,79580021",Southampton
3rd,0,male,26,"7,7750001",Southampton
3rd,0,female,39,"31,2749996",Southampton
3rd,0,male,20,"7,85419989",Southampton
3rd,0,male,26,"7,89580011",Southampton
3rd,0,male,25,"17,7999992",Southampton
3rd,0,female,18,"17,7999992",Southampton
3rd,0,male,24,"7,7750001",Southampton
3rd,0,male,35,"7,05000019",Southampton
3rd,0,male,5,"31,3875008",Southampton
3rd,0,male,9,"31,3875008",Southampton
3rd,1,male,3,"31,3875008",Southampton
3rd,0,male,13,"31,3875008",Southampton
3rd,1,female,5,"31,3875008",Southampton
3rd,0,male,40,"31,3875008",Southampton
3rd,1,male,23,"7,79580021",Southampton
3rd,1,female,38,"31,3875008",Southampton
3rd,1,female,45,"7,2249999",Cherbourg
3rd,0,male,21,"7,2249999",Cherbourg
3rd,0,male,23,"7,05000019",Southampton
3rd,0,female,17,"14,4582996",Cherbourg
3rd,0,male,30,"7,2249999",Cherbourg
3rd,0,male,23,"7,85419989",Southampton
3rd,1,female,13,"7,22919989",Cherbourg
3rd,0,male,20,"7,2249999",Cherbourg
3rd,0,male,32,"15,8500004",Southampton
3rd,1,female,33,"15,8500004",Southampton
3rd,1,female,"0,75","19,2583008",Cherbourg
3rd,1,female,"0,75","19,2583008",Cherbourg
3rd,1,female,5,"19,2583008",Cherbourg
3rd,1,female,24,"19,2583008",Cherbourg
3rd,1,female,18,"8,05000019",Southampton
3rd,0,male,40,"7,2249999",Cherbourg
3rd,0,male,26,"7,89580011",Southampton
3rd,1,male,20,"7,22919989",Cherbourg
3rd,0,female,18,"14,4541998",Cherbourg
3rd,0,female,45,"14,4541998",Cherbourg
3rd,0,female,27,"7,87919998",Queenstown
3rd,0,male,22,"8,05000019",Southampton
3rd,0,male,19,"8,05000019",Southampton
3rd,0,male,26,"7,7750001",Southampton
3rd,0,male,22,"9,35000038",Southampton
3rd,0,male,20,"4,01249981",Cherbourg
3rd,1,male,32,"56,4958",Southampton
3rd,0,male,21,"7,7750001",Southampton
3rd,0,male,18,"7,75",Southampton
3rd,0,male,26,"7,89580011",Southampton
3rd,0,male,6,"15,2458",Cherbourg
3rd,0,female,9,"15,2458",Cherbourg
3rd,0,male,40,"15,5",Queenstown
3rd,0,female,32,"15,5",Queenstown
3rd,0,male,21,"16,1000004",Southampton
3rd,1,female,22,"7,7249999",Queenstown
3rd,0,female,20,"7,85419989",Southampton
3rd,0,male,29,"7,04580021",Southampton
3rd,0,male,22,"7,25",Southampton
3rd,0,male,22,"7,79580021",Southampton
3rd,0,male,35,"8,05000019",Southampton
3rd,0,female,"18,5","7,28329992",Queenstown
3rd,1,male,21,"7,82079983",Queenstown
3rd,0,male,19,"6,75",Queenstown
3rd,0,female,18,"7,87919998",Queenstown
3rd,0,female,21,"8,66250038",Southampton
3rd,0,female,30,"8,66250038",Southampton
3rd,0,male,18,"8,66250038",Southampton
3rd,0,male,38,"8,66250038",Southampton
3rd,0,male,17,"8,66250038",Southampton
3rd,0,male,17,"8,66250038",Southampton
3rd,0,female,21,"7,75",Queenstown
3rd,0,male,21,"7,75",Queenstown
3rd,0,male,21,"8,05000019",Southampton
3rd,0,male,28,"7,79580021",Southampton
3rd,0,male,24,"7,85419989",Southampton
3rd,1,female,16,"7,75",Queenstown
3rd,0,female,37,"7,75",Queenstown
3rd,0,male,28,"7,25",Southampton
3rd,0,male,24,"8,05000019",Southampton
3rd,0,male,21,"7,73330021",Queenstown
3rd,1,male,32,"56,4958",Southampton
3rd,0,male,29,"8,05000019",Southampton
3rd,0,male,26,"14,4541998",Cherbourg
3rd,0,male,18,"14,4541998",Cherbourg
3rd,0,male,20,"7,05000019",Southampton
3rd,1,male,18,"8,05000019",Southampton
3rd,0,male,24,"7,25",Queenstown
3rd,0,male,36,"7,49580002",Southampton
3rd,0,male,24,"7,49580002",Southampton
3rd,0,male,31,"7,73330021",Queenstown
3rd,0,male,31,"7,75",Queenstown
3rd,1,female,22,"7,75",Queenstown
3rd,0,female,30,"7,62919998",Queenstown
3rd,0,male,"70,5","7,75",Queenstown
3rd,0,male,43,"8,05000019",Southampton
3rd,0,male,35,"7,89580011",Southampton
3rd,0,male,27,"7,89580011",Southampton
3rd,0,male,19,"7,89580011",Southampton
3rd,0,male,30,"8,05000019",Southampton
3rd,1,male,9,"15,8999996",Southampton
3rd,1,male,3,"15,8999996",Southampton
3rd,1,female,36,"15,8999996",Southampton
3rd,0,male,59,"7,25",Southampton
3rd,0,male,19,"8,1583004",Southampton
3rd,1,female,17,"16,1000004",Southampton
3rd,0,male,44,"16,1000004",Southampton
3rd,0,male,17,"8,66250038",Southampton
3rd,0,male,"22,5","7,2249999",Cherbourg
3rd,1,male,45,"8,05000019",Southampton
3rd,0,female,22,"10,5166998",Southampton
3rd,0,male,19,"10,1708002",Southampton
3rd,1,female,30,"6,94999981",Queenstown
3rd,1,male,29,"7,75",Queenstown
3rd,0,male,"0,333299994","14,3999996",Southampton
3rd,0,male,34,"14,3999996",Southampton
3rd,0,female,28,"14,3999996",Southampton
3rd,0,male,27,"7,89580011",Southampton
